,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
664,0.593056,1.658799,-3.515871,6.774609,4,metal,14.061041,1.911496,189008.071037
665,0.587863,1.371337,-3.515871,6.775166,4,metal,18.072139,1.972799,9814193.228920
666,0.587862,1.110997,-3.515871,6.775166,4,metal,24.891976,2.164382,7421105559.064944
667,0.737329,1.849944,-2.725824,6.998968,2,metal,11.473250,1.978828,13285.407229
668,0.724075,1.833238,-2.725824,7.101320,2,metal,11.623818,1.976782,15475.850280
669,0.709092,1.814166,-2.725824,7.203491,2,metal,11.781204,1.974350,18157.774975
670,0.692018,1.792184,-2.725824,7.303172,2,metal,11.916404,1.971448,20846.800083
671,0.986504,7.389051,-3.631162,3.113091,1,metal,6.272003,1.798451,87.667607
672,0.755382,5.986264,-3.631162,6.389220,3,metal,7.763276,1.952979,333.718096
673,0.398960,4.849838,-3.631162,6.389071,3,metal,7.709025,1.830771,357.185043
674,0.398959,3.929127,-3.631162,6.389069,3,metal,7.983263,1.882809,446.060340
675,0.398957,3.183225,-3.631162,6.389052,3,metal,9.055932,1.832260,1371.515412
676,0.398952,2.578918,-3.631162,6.389016,3,metal,10.079349,1.932185,3453.569476
677,0.398956,2.089329,-3.631162,6.389042,3,metal,10.952327,1.925108,8326.674590
678,0.755394,1.692630,-3.631162,6.389112,3,metal,13.440521,1.939444,98822.116473
679,0.588221,1.371337,-3.631162,6.312200,4,metal,17.409828,1.938066,5239631.976336
680,0.685493,1.110998,-3.631162,5.216706,6,metal,20.554994,2.033641,110591452.772621
681,0.685464,0.900087,-3.631162,5.216805,6,metal,29.074284,2.287945,429694039282.613586
682,0.847664,7.389041,-4.071254,9.312216,1,metal,9.341582,2.095525,1402.563786
683,0.847668,5.986272,-4.071254,9.312078,1,metal,9.535189,2.112261,1673.927935
684,0.847663,4.849848,-4.071254,9.312225,1,metal,10.083212,2.110771,2899.926447
685,0.847691,3.929161,-4.071254,9.311402,1,metal,10.603829,2.107373,4897.382675
686,0.847668,3.183238,-4.071254,9.312097,1,metal,12.422676,2.116169,29926.716070
687,0.847663,2.578919,-4.071254,9.312229,1,metal,12.900528,2.257599,41895.302017
688,0.847663,2.089463,-4.071254,9.312228,1,metal,14.527363,2.130990,241922.618669
689,0.710768,1.692669,-4.071254,9.312054,2,metal,18.262521,2.065067,10825925.046302
690,0.710831,1.371328,-4.071254,9.311514,2,metal,24.636426,2.173100,5697687401.274985
691,0.585707,1.111002,-4.071254,8.375463,3,metal,32.202926,2.302721,9671503713513.861328
